department,code,OCC_TITLE,OCC_GROUP
53,3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",detailed
53,3021,"Bus Drivers, Transit and Intercity",detailed
53,3022,"Bus Drivers, School or Special Client",detailed
53,3031,Driver/Sales Workers,detailed
53,3032,Heavy and Tractor-Trailer Truck Drivers,detailed
53,3033,Light Truck or Delivery Services Drivers,detailed
53,3041,Taxi Drivers and Chauffeurs,detailed
53,3099,"Motor Vehicle Operators, All Other",detailed
53,4011,Locomotive Engineers,detailed
53,4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",detailed
53,4021,"Railroad Brake, Signal, and Switch Operators",detailed
53,4031,Railroad Conductors and Yardmasters,detailed
53,5011,Sailors and Marine Oilers,detailed
53,5021,"Captains, Mates, and Pilots of Water Vessels",detailed
53,6021,Parking Lot Attendants,detailed
53,6031,Automotive and Watercraft Service Attendants,detailed
53,6051,Transportation Inspectors,detailed
53,6099,"Transportation Workers, All Other",detailed
53,7011,Conveyor Operators and Tenders,detailed
53,7021,Crane and Tower Operators,detailed
53,7032,Excavating and Loading Machine and Dragline Operators,detailed
53,7033,"Loading Machine Operators, Underground Mining",detailed
53,7041,Hoist and Winch Operators,detailed
53,7051,Industrial Truck and Tractor Operators,detailed
53,7061,Cleaners of Vehicles and Equipment,detailed
53,7062,"Laborers and Freight, Stock, and Material Movers, Hand",detailed
53,7063,Machine Feeders and Offbearers,detailed
53,7064,"Packers and Packagers, Hand",detailed
53,7071,Gas Compressor and Gas Pumping Station Operators,detailed
53,7072,"Pump Operators, Except Wellhead Pumpers",detailed
53,7081,Refuse and Recyclable Material Collectors,detailed
53,7111,Mine Shuttle Car Operators,detailed
53,7121,"Tank Car, Truck, and Ship Loaders",detailed
53,7199,"Material Moving Workers, All Other",detailed
19,2043,Hydrologists,detailed
19,3011,Economists,detailed
19,4061,Social Science Research Assistants,detailed
25,1071,"Health Specialties Teachers, Postsecondary",detailed
27,3099,"Media and Communication Workers, All Other",detailed
29,1129,"Therapists, All Other",detailed
29,1161,Nurse Midwives,detailed
29,1199,"Health Diagnosing and Treating Practitioners, All Other",detailed
37,2019,"Building Cleaning Workers, All Other",detailed
39,3011,Gaming Dealers,detailed
39,3031,"Ushers, Lobby Attendants, and Ticket Takers",detailed
41,2012,Gaming Change Persons and Booth Cashiers,detailed
41,9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",detailed
43,2099,"Communications Equipment Operators, All Other",detailed
45,3011,Fishers and Related Fishing Workers,detailed
47,2072,Pile-Driver Operators,detailed
47,2082,Tapers,detailed
47,5011,"Derrick Operators, Oil and Gas",detailed
53,2031,Flight Attendants,detailed
53,5022,Motorboat Operators,detailed
53,5031,Ship Engineers,detailed
53,6061,"Transportation Attendants, Except Flight Attendants",detailed
11,9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed
11,9071,Gaming Managers,detailed
13,1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed
19,1012,Food Scientists and Technologists,detailed
19,3022,Survey Researchers,detailed
19,3041,Sociologists,detailed
19,3094,Political Scientists,detailed
23,1012,Judicial Law Clerks,detailed
25,1043,"Forestry and Conservation Science Teachers, Postsecondary",detailed
25,1061,"Anthropology and Archeology Teachers, Postsecondary",detailed
25,1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",detailed
25,1069,"Social Sciences Teachers, Postsecondary, All Other",detailed
27,1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",detailed
27,1027,Set and Exhibit Designers,detailed
27,1029,"Designers, All Other",detailed
27,2011,Actors,detailed
27,2021,Athletes and Sports Competitors,detailed
27,2099,"Entertainers and Performers, Sports and Related Workers, All Other",detailed
29,1029,"Dentists, All Other Specialists",detailed
33,9031,Gaming Surveillance Officers and Gaming Investigators,detailed
39,3019,"Gaming Service Workers, All Other",detailed
39,7012,Travel Guides,detailed
41,9012,Models,detailed
43,3041,Gaming Cage Workers,detailed
43,9081,Proofreaders and Copy Markers,detailed
47,2142,Paperhangers,detailed
47,2171,Reinforcing Iron and Rebar Workers,detailed
47,2231,Solar Photovoltaic Installers,detailed
47,5051,"Rock Splitters, Quarry",detailed
49,9061,Camera and Photographic Equipment Repairers,detailed
49,9097,Signal and Track Switch Repairers,detailed
51,4199,"Metal Workers and Plastic Workers, All Other",detailed
51,9141,Semiconductor Processors,detailed
53,6041,Traffic Technicians,detailed
17,2021,Agricultural Engineers,detailed
19,1011,Animal Scientists,detailed
51,6042,Shoe Machine Operators and Tenders,detailed
53,4012,Locomotive Firers,detailed
53,7073,Wellhead Pumpers,detailed
13,1074,Farm Labor Contractors,detailed
15,2021,Mathematicians,detailed
17,2121,Marine Engineers and Naval Architects,detailed
19,2011,Astronomers,detailed
19,3032,Industrial-Organizational Psychologists,detailed
19,3092,Geographers,detailed
27,1022,Fashion Designers,detailed
27,2031,Dancers,detailed
27,2032,Choreographers,detailed
29,1024,Prosthodontists,detailed
29,9092,Genetic Counselors,detailed
33,3052,Transit and Railroad Police,detailed
39,3092,Costume Attendants,detailed
39,5011,Barbers,detailed
39,5091,"Makeup Artists, Theatrical and Performance",detailed
45,2021,Animal Breeders,detailed
47,2053,Terrazzo Workers and Finishers,detailed
49,9081,Wind Turbine Service Technicians,detailed
49,9093,"Fabric Menders, Except Garment",detailed
51,6092,Fabric and Apparel Patternmakers,detailed
51,7031,"Model Makers, Wood",detailed
51,7032,"Patternmakers, Wood",detailed
51,8011,Nuclear Power Reactor Operators,detailed
53,4041,Subway and Streetcar Operators,detailed
53,4099,"Rail Transportation Workers, All Other",detailed
53,6011,Bridge and Lock Tenders,detailed
53,7031,Dredge Operators,detailed
15,2099,"Mathematical Science Occupations, All Other",detailed
47,5061,"Roof Bolters, Mining",detailed
27,4013,Radio Operators,detailed
15,2091,Mathematical Technicians,detailed
47,4091,Segmental Pavers,detailed
51,2093,Timing Device Assemblers and Adjusters,detailed
35,2013,"Cooks, Private Household",detailed
